pattern;method;CITL;slope;rmse;brier;auc
0;log_ps;0,202526569;0,168697722;0,39953903;0,159631437;0,751569859
0;log_mean;0,202526569;0,168697722;0,39953903;0,159631437;0,751569859
0;log_draw;0,202526569;0,168697722;0,39953903;0,159631437;0,751569859
0;log_mult;0,202526569;0,168697722;0,39953903;0,159631437;0,751569859
0;rf_ps;0,1869646;0,276061341;0,367915772;0,135362015;0,831809262
0;rf_mean;0,1869646;0,276061341;0,367915772;0,135362015;0,831809262
0;rf_draw;0,1869646;0,276061341;0,367915772;0,135362015;0,831809262
0;rf_mult;0,1869646;0,276061341;0,367915772;0,135362015;0,831809262
0;rf_sur;0,164227344;0,244224985;0,376508664;0,141758774;0,826189339
1;log_ps;0,097490501;0,091311581;0,290292781;0,084269898;0,757320484
1;log_mean;0,184343732;0,077691459;0,32150521;0,1033656;0,634295919
1;log_draw;0,197836902;0,047903294;0,341718797;0,116771736;0,589918118
1;log_mult;0,193923715;0,085711151;0,323363215;0,104563769;0,647808067
1;rf_ps;0,100537375;0,130151941;0,284171692;0,080753551;0,778818614
1;rf_mean;0,18166678;0,185774343;0,318101283;0,101188426;0,715469893
1;rf_draw;0,232576459;0,144961432;0,342426127;0,117255653;0,69747616
1;rf_mult;0,22755845;0,157397774;0,332897742;0,110820907;0,709505678
1;rf_sur;0,096131844;0,186958808;0,274033721;0,07509448;0,795969943
10;log_ps;0,088060404;0,183531615;0,271186327;0,073542024;0,800659304
10;log_mean;0,112595566;0,171784368;0,276899354;0,076673252;0,787773771
10;log_draw;0,114203545;0,171508676;0,278230119;0,077411999;0,787360532
10;log_mult;0,115090806;0,172977418;0,277525182;0,077020227;0,785994027
10;rf_ps;0,088866837;0,254292347;0,258702516;0,066926992;0,853269751
10;rf_mean;0,139510915;0,270867634;0,274142872;0,075154314;0,835676584
10;rf_draw;0,137919444;0,267440932;0,272268874;0,07413034;0,833640914
10;rf_mult;0,138410148;0,267226992;0,271650539;0,073794015;0,836704985
10;rf_sur;0,094554259;0,26757597;0,256852568;0,065973242;0,857028814
11;log_ps;0,044462508;0,132241704;0,200027699;0,04001108;0,765179593
11;log_mean;0,11748394;0,101949577;0,22874901;0,05232611;0,704621368
11;log_draw;0,131309015;0,083728019;0,250982888;0,06299241;0,643445436
11;log_mult;0,129544552;0,100876069;0,235571558;0,055493959;0,699107756
11;rf_ps;0,047140661;0,14051832;0,203701712;0,041494387;0,794898193
11;rf_mean;0,139404782;0,143555611;0,247751289;0,061380701;0,746408145
11;rf_draw;0,181000696;0,12920169;0,268478018;0,072080446;0,718531229
11;rf_mult;0,181251594;0,126834546;0,265096915;0,070276374;0,728094258
11;rf_sur;0,059533694;0,179304712;0,198669916;0,039469736;0,827270647
101;log_ps;0,14838239;0,163269555;0,352309833;0,124122219;0,779329788
101;log_mean;0,188833371;0,16679554;0,359734218;0,129408707;0,755567272
101;log_draw;0,213834448;0,145063483;0,38997312;0,152079035;0,685681606
101;log_mult;0,209121967;0,159478004;0,366361005;0,134220386;0,742038167
101;rf_ps;0,137851053;0,244062801;0,338253607;0,114415503;0,817180617
101;rf_mean;0,1794433;0,26323641;0,34897142;0,121781052;0,805275645
101;rf_draw;0,224543066;0,228047166;0,357463422;0,127780098;0,801238752
101;rf_mult;0,220955044;0,23055434;0,349435431;0,122105121;0,81576991
101;rf_sur;0,1213571;0,233035233;0,33935857;0,115164239;0,822225629
111;log_ps;0,040635937;0,10729305;0,206491642;0,042638798;0,797450881
111;log_mean;0,112419867;0,128575397;0,219629151;0,048236964;0,782418699
111;log_draw;0,134265062;0,134874921;0,249597713;0,062299018;0,683951558
111;log_mult;0,136657702;0,131221064;0,232760158;0,054177291;0,754344512
111;rf_ps;0,040380392;0,128499103;0,209247327;0,043784444;0,791920732
111;rf_mean;0,112866418;0,209386302;0,227162391;0,051602752;0,810454776
111;rf_draw;0,168151824;0,198625748;0,257200189;0,066151937;0,811763211
111;rf_mult;0,168411049;0,182273971;0,250116998;0,062558513;0,804894986
111;rf_sur;0,065375341;0,17025752;0,207444706;0,043033306;0,816361789
1001;log_ps;0,089660205;0,118843808;0,279124095;0,077910261;0,765468403
1001;log_mean;0,182873246;0,110009998;0,308393723;0,095106688;0,704518994
1001;log_draw;0,191335768;0,097505812;0,327802718;0,107454622;0,654443978
1001;log_mult;0,193212097;0,114242884;0,313972823;0,098578933;0,706967533
1001;rf_ps;0,089857725;0,198319039;0,268188075;0,071924844;0,824197323
1001;rf_mean;0,174319875;0,190616878;0,30533983;0,093232412;0,745345976
1001;rf_draw;0,231276557;0,150081627;0,333736887;0,11138031;0,705875293
1001;rf_mult;0,233033273;0,155695493;0,330210976;0,109039288;0,729766549
1001;rf_sur;0,078723806;0,19222277;0,263125188;0,069234865;0,839716738
1011;log_ps;0,035376986;0,149445972;0,173673067;0,030162334;0,798422951
1011;log_mean;0,104175821;0,11905658;0,201395362;0,040560092;0,748119565
1011;log_draw;0,116530132;0,116372798;0,220914805;0,048803351;0,719290887
1011;log_mult;0,117109046;0,116382445;0,210110788;0,044146543;0,743142354
1011;rf_ps;0,033213093;0,204963167;0,174070916;0,030300684;0,850226957
1011;rf_mean;0,131855234;0,181650546;0,231187948;0,053447867;0,769626896
1011;rf_draw;0,181615787;0,156002339;0,25791845;0,066521927;0,758945465
1011;rf_mult;0,183783874;0,166099801;0,254315236;0,064676239;0,774599446
1011;rf_sur;0,038010932;0,193697348;0,166377638;0,027681519;0,873304812
1101;log_ps;0,063728593;0,111615577;0,242669052;0,058888269;0,786639864
1101;log_mean;0,145434997;0,113517021;0,267072899;0,071327933;0,722777176
1101;log_draw;0,172699614;0,079508278;0,305383541;0,093259107;0,635420855
1101;log_mult;0,167066885;0,108567194;0,278435875;0,077526537;0,703644142
1101;rf_ps;0,06373343;0,194043014;0,232075276;0,053858934;0,826627493
1101;rf_mean;0,113171922;0,173308149;0,253878174;0,064454127;0,769934539
1101;rf_draw;0,180640901;0,149843016;0,28475114;0,081083212;0,740941189
1101;rf_mult;0,183165773;0,159870173;0,275864523;0,076101235;0,767609917
1101;rf_sur;0,053998217;0,188648244;0,232429067;0,054023271;0,816957889
1111;log_ps;0,017492254;0,08262311;0,105408904;0,011111037;0,895436927
1111;log_mean;0,097690661;0,133111829;0,142091573;0,020190015;0,785588443
1111;log_draw;0,12404817;0,144590459;0,190219481;0,036183451;0,702255109
1111;log_mult;0,123479243;0,113136495;0,168691722;0,028456897;0,764975335
1111;rf_ps;0,019674166;0,072213796;0,111721131;0,012481611;0,77140592
1111;rf_mean;0,085456942;0,15928387;0,154858424;0,023981131;0,818225863
1111;rf_draw;0,152117912;0,146228456;0,207247378;0,042951476;0,766560958
1111;rf_mult;0,154305934;0,135666031;0,198788489;0,039516864;0,796247357
1111;rf_sur;0,034461295;0,111300184;0,115406055;0,013318557;0,888213531
10010;log_ps;0,159546117;0,332214046;0,340256109;0,115774219;0,825832698
10010;log_mean;0,108327855;0,182295993;0,37493643;0,140577327;0,822145945
10010;log_draw;0,119719957;0,175816431;0,379244684;0,14382653;0,780701754
10010;log_mult;0,112280557;0,178463913;0,376023237;0,141393474;0,814899568
10010;rf_ps;0,140872204;0,356173452;0,329857737;0,108806127;0,839435545
10010;rf_mean;0,115127875;0,229606605;0,347221509;0,120562776;0,840961098
10010;rf_draw;0,142511301;0,213176542;0,35251199;0,124264703;0,822590898
10010;rf_mult;0,143667166;0,210907306;0,347752289;0,120931654;0,84286804
10010;rf_sur;0,066474986;0,220297906;0,355523436;0,126396913;0,865369947
10111;log_ps;0,051590995;0,154338471;0,248263573;0,061634802;0,73951049
10111;log_mean;0,124326637;0,133047358;0,257452654;0,066281869;0,732392607
10111;log_draw;0,14890739;0,140236772;0,281957611;0,079500094;0,658591409
10111;log_mult;0,155680906;0,121922331;0,273246364;0,074663576;0,718281718
10111;rf_ps;0,050187407;0,187130541;0,239685089;0,057448942;0,814123377
10111;rf_mean;0,118923918;0,201364347;0,259518134;0,067349662;0,799450549
10111;rf_draw;0,19213241;0,164845796;0,293809013;0,086323736;0,750374625
10111;rf_mult;0,198485251;0,169124283;0,283727149;0,080501095;0,800824176
10111;rf_sur;0,04821916;0,157905172;0,242852428;0,058977302;0,843406593
11011;log_ps;0,077979048;0,357762287;0,268807102;0,072257258;0,851025939
11011;log_mean;0,081625086;0,15931549;0,300615507;0,090369683;0,845683314
11011;log_draw;0,102797762;0,141820564;0,315400412;0,09947742;0,755555556
11011;log_mult;0,098341299;0,154254823;0,302850443;0,091718391;0,83313976
11011;rf_ps;0,082257438;0,333907985;0,283404858;0,080318314;0,839411537
11011;rf_mean;0,100860627;0,224532592;0,294883928;0,086956531;0,817847464
11011;rf_draw;0,18549698;0,17907529;0,318894404;0,101693641;0,78466899
11011;rf_mult;0,187831452;0,199855982;0,302968588;0,091789965;0,851413086
11011;rf_sur;0,033229894;0,215413341;0,29682354;0,088104214;0,832288037
11111;log_ps;0,030956142;0,170712421;0,225451194;0,050828241;0,701020408
11111;log_mean;0,099374801;0,139249951;0,233492862;0,054518917;0,779591837
11111;log_draw;0,130594098;0,107262742;0,277326916;0,076910219;0,637755102
11111;log_mult;0,125706917;0,090318314;0,253168707;0,064094394;0,692517007
11111;rf_ps;0,032410309;0,243014135;0,225352954;0,050783954;0,832823129
11111;rf_mean;0,08522517;0,198181497;0,233968057;0,054741052;0,854421769
11111;rf_draw;0,19622509;0,131239355;0,301683359;0,091012849;0,719387755
11111;rf_mult;0,190902343;0,134887002;0,273241488;0,074660911;0,752721088
11111;rf_sur;0,023220429;0,222790819;0,215133624;0,046282476;0,919047619
1100101;log_ps;0,031414354;0,124713973;0,191922501;0,036834246;0,897754137
1100101;log_mean;0,252492265;0,084678275;0,296044387;0,087642279;0,78427896
1100101;log_draw;0,307898868;0,078550585;0,383099349;0,146765111;0,630023641
1100101;log_mult;0,278049853;0,006944056;0,328721784;0,108058012;0,526595745
1100101;rf_ps;0,036247634;0,213467181;0,177597807;0,031540981;0,952718676
1100101;rf_mean;0,34453156;0,041653625;0,372455813;0,138723332;0,458628842
1100101;rf_draw;0,4404;0,002555556;0,459153842;0,210822251;0,576832151
1100101;rf_mult;0,433089709;0,018960662;0,444707457;0,197764722;0,563238771
1100101;rf_sur;0,04112693;0,1844382;0,182192071;0,033193951;0,96749409
11100101;log_ps;0,007202148;NA;0,035438647;0,001255898;NA
11100101;log_mean;0,216414118;NA;0,237876548;0,056585252;NA
11100101;log_draw;0,24524969;NA;0,30041746;0,090250651;NA
11100101;log_mult;0,241743756;NA;0,268465313;0,072073624;NA
11100101;rf_ps;0,004586337;NA;0,026634801;0,000709413;NA
11100101;rf_mean;0,470405103;NA;0,475674162;0,226265908;NA
11100101;rf_draw;0,487102387;NA;0,497469509;0,247475912;NA
11100101;rf_mult;0,484978277;NA;0,488698147;0,238825879;NA
11100101;rf_sur;0,013497511;NA;0,040828188;0,001666941;NA
11111111;log_ps;0,001483593;0,230575128;0,058434312;0,003414569;1
